script	status	duracao_ms	codigo_saida	inicio_utc	fim_utc	sha256_log
testar_estado_semantico_compartilhado.sh	PASSOU	1796	0	2026-07-19T01:37:57.467Z	2026-07-19T01:37:59.284Z	f0033d22925fd31d77e253174cc3c026b33a716e68bc1ed182c091d44877a99c
testar_fechamento_curadoria_sem_travamento.sh	PASSOU	1403	0	2026-07-19T01:37:59.309Z	2026-07-19T01:38:00.730Z	095d2a8974f319ee6cb24b48e249cf66019f1a9b1a768b2e55b6e73b927731c5
testar_feedback_multissensorial_posicionamento.sh	PASSOU	10253	0	2026-07-19T01:38:00.755Z	2026-07-19T01:38:11.025Z	f8589bb0e646247205ffe5845727c7146824b849a5d88d2a6741d34338ce9b5a
testar_feedback_proxy_posicionamento.sh	PASSOU	11261	0	2026-07-19T01:38:11.052Z	2026-07-19T01:38:22.331Z	698853cebc456a97bfada10c87fd0e45662a7da4c1fe6124a77bbc881e584544
testar_grandezas_quantitativas_contextuais.sh	PASSOU	982	0	2026-07-19T01:38:22.355Z	2026-07-19T01:38:23.354Z	fa31fee3cac584c90c3f5a92e546593fc022b788f6789c8b64bee2e58e456b35
testar_inicializacao_sem_categoria.sh	PASSOU	14009	0	2026-07-19T01:38:23.379Z	2026-07-19T01:38:37.405Z	08900d1c9f04c55a8ea399ce05cf24d3a1ac9ead65aafa9043c4c2c1c7439d80
testar_janelas_responsivas.sh	PASSOU	1122	0	2026-07-19T01:38:37.431Z	2026-07-19T01:38:38.572Z	ed0a95e5b28630c2e630fd9643c4c661cdae483d10a39da5b5c37e2181690878
testar_layout_compacto_eixo_inteiros.sh	PASSOU	2686	0	2026-07-19T01:38:38.600Z	2026-07-19T01:38:41.303Z	79c63efe7665608bfa5487b1f8c5a1ebe2f1f61c741e5e285b0dbf31eb7b3e4b
testar_limite_quantidade_venn.sh	PASSOU	862	0	2026-07-19T01:38:41.330Z	2026-07-19T01:38:42.209Z	36188439799d43825201faac0ca7aeb80a77048643ad5720088cc87c5cdcf2af
testar_mapeamento_comparacao_complementar.sh	PASSOU	8905	0	2026-07-19T01:38:42.234Z	2026-07-19T01:38:51.155Z	7f6202d44c3173573e50e69ca1c10e07933edb3c7a8a11391492a6036bdc1c70
testar_menu_comparacao_categorias.sh	PASSOU	1086	0	2026-07-19T01:38:51.186Z	2026-07-19T01:38:52.290Z	aafa4eeec41f1077423135a4b98a6fc5762cdafe2c6196287ffab7c9e080baed
testar_modelo_semantico_explicito.sh	PASSOU	1798	0	2026-07-19T01:38:52.316Z	2026-07-19T01:38:54.132Z	e50aa802ffe157accbce39480f03d2c0b5fdda8d9f3a105f09b6dade322e9940
testar_montagem_situacao.sh	PASSOU	14217	0	2026-07-19T01:38:54.164Z	2026-07-19T01:39:08.400Z	000accc35745f155ff1ce1023403dca5ba61af722b5fba3bee400d7274f80a32
testar_perfis_categorias.sh	PASSOU	1663	0	2026-07-19T01:39:08.427Z	2026-07-19T01:39:10.110Z	867f77c8709013d227a7d2085338e2401bc8da265041f87e32dd2b25aa0d937b
testar_pickup_incognita_gesto_estrutural.sh	PASSOU	1950	0	2026-07-19T01:39:10.135Z	2026-07-19T01:39:12.103Z	cb07615c370871e691cbc4f5b2edecef3cab808dc6eda458e18768abc53bd422
testar_politica_valores_aditivos.sh	PASSOU	1935	0	2026-07-19T01:39:12.130Z	2026-07-19T01:39:14.084Z	0abce90532aef15953b239cd3e06b32b7b66d8a9832bb62a09e91aa2bcabd294
testar_processo_transformacao.sh	PASSOU	3091	0	2026-07-19T01:39:14.112Z	2026-07-19T01:39:17.221Z	cc00b4061b0e3d27d235bab777ee1ff7888909cce0a3cfed03d29acb589a20e6
testar_proxy_arraste_texto_semantico.sh	PASSOU	2276	0	2026-07-19T01:39:17.247Z	2026-07-19T01:39:19.538Z	f037be55a1d031ccac4c22b9587991459ffebb665b2b81beaa378fdaa456489f
testar_registro_relato_bug.sh	PASSOU	1780	0	2026-07-19T01:39:19.568Z	2026-07-19T01:39:21.364Z	76915b6d5be134ef50d55b3009797d60ba1899698f8c4f9fb74af9c5ea9e3e05
testar_regra_controles_quantidades_positivas.sh	PASSOU	4131	0	2026-07-19T01:39:21.391Z	2026-07-19T01:39:25.540Z	ab58bfa6ac19aa10ad96dc99f12e1d3f75d76bdf82c00ece45f22196c4cf3003
testar_remocao_quadradinhos_venn.sh	PASSOU	107	0	2026-07-19T01:39:25.563Z	2026-07-19T01:39:25.687Z	284de6de7c420a34e0511f5e4fb4603cfaf72ea610328665fb453d9e133299c9
testar_remocao_subtipo_curadoria.sh	PASSOU	62	0	2026-07-19T01:39:25.712Z	2026-07-19T01:39:25.795Z	cbf4b4754c37eac57b67d458b5970fa1710e5374e28daba0859fbb4474d5aae7
testar_renderizacao_unidades_venn.sh	PASSOU	1283	0	2026-07-19T01:39:25.820Z	2026-07-19T01:39:27.119Z	4197f6b8012d1e0a76426faf12b628e511b8f1be8200348e391435763bff97d4
testar_rotulos_semanticos_i18n.sh	PASSOU	2888	0	2026-07-19T01:39:27.145Z	2026-07-19T01:39:30.052Z	2e556028ffda2454954dbfe6f36c42e334ab28fe1c7aa6252f4532521eefd5b5
testar_sinal_obrigatorio_curadoria.sh	PASSOU	4098	0	2026-07-19T01:39:30.076Z	2026-07-19T01:39:34.191Z	ffa33bfb8515dc1f1ca9ac4782e0c67606447e6e69dca92fc59457f1b5a737ed
testar_sinal_relativo_sem_quantidade_negativa.sh	PASSOU	4591	0	2026-07-19T01:39:34.217Z	2026-07-19T01:39:38.825Z	311ae9a8f843629ee5063cc8341a7b2fc5f1c4d3cb76900f5d18421b0552a24f
testar_sincronizacao_controles_por_categoria.sh	PASSOU	5064	0	2026-07-19T01:39:38.851Z	2026-07-19T01:39:43.933Z	35f2f090c6e8607a09375ab2e64392c75171c31503971997458bd50ed19ef057
testar_sincronizacao_decimais_transformacao.sh	PASSOU	1637	0	2026-07-19T01:39:43.958Z	2026-07-19T01:39:45.610Z	772898462926f041efd19c0e5321b31543dc75da97fdbc31a79668a750c25022
testar_sincronizacao_elementos_semanticos_texto.sh	PASSOU	1897	0	2026-07-19T01:39:45.632Z	2026-07-19T01:39:47.546Z	34fb9197352301a1607edae94f3d845e4f04d62efe806bf31a025e2f777cd08a
testar_sincronizacao_texto_tela_gerard.sh	PASSOU	4282	0	2026-07-19T01:39:47.571Z	2026-07-19T01:39:51.870Z	5f4c064dcc3b918730274d4307443691839a5200e56fd767dab67cd3a8992d01
