id,data,classe,fase,objetivo,proposta_ia,intervencao_pesquisador,conhecimento,resultado,impacto
C28,2026-07-14,REFINAMENTO_VISUAL_OPERACIONAL,Comparação entre categorias,Reforçar a equivalência numérica e melhorar o uso do espaço,Mensagem discreta e distribuição espacial pouco eficiente,"Exigir faixa de destaque, cores consistentes para os valores e redistribuição das quatro colunas",Design visual e pedagógico,MODIFICADA,Hierarquia visual reforça mesma solução numérica e diferencia valores sem alterar a estrutura conceitual
C29,2026-07-14,REFINAMENTO_VISUAL_OPERACIONAL,Comparação entre categorias,Explicitar a tese central do Gérard na tela comparativa,Texto secundário com pouco destaque,Substituir a mensagem inferior por uma formulação assertiva e visualmente reforçada,Design visual e argumentação pedagógica,MODIFICADA,Faixa superior passa a enunciar explicitamente que mesma solução numérica não implica a mesma estrutura matemática
C30,2026-07-14,REFINAMENTO_VISUAL_OPERACIONAL,Diálogos e menus,Padronizar componentes visuais auxiliares,Diálogo legado e menus com tipografia e espaçamento inconsistentes,"Padronizar diálogo de inserção, fontes, negrito, margens, bordas e realce dos menus",Design visual e internacionalização,MODIFICADA,Diálogo e menus passam a compartilhar o padrão visual da interface
C31,2026-07-14,REFINAMENTO_VISUAL_OPERACIONAL,Navegação por menus,Reduzir ruído visual na indicação de submenus,Setas textuais inseridas manualmente ao lado dos itens,"Retirar as setas e preservar abertura por onmouseover, realce e clique alternativo",Design de interação,MODIFICADA,Submenus permanecem descobertos pelo comportamento de hover com menu mais limpo
C32,2026-07-14,ESTRUTURAL_GENERALIZACAO,Arquitetura dos elementos gráficos,Reduzir a concentração de responsabilidades em Main.java,Dez classes gráficas mantidas como classes internas estáticas,"Extrair os elementos para gerard.campoaditivo.diagrama.elementos, centralizar o tema dos menus e acrescentar regressão headless de geometria e desenho",Engenharia de software e regressão,MODIFICADA,Elementos gráficos passam a ter arquivos próprios com compilação e teste de fumaça automatizado
C33,2026-07-14,CONSISTENCIA_TEORICO_METODOLOGICA,Construção reversa da situação-problema,Construir a situação com blocos corretos e blocos de outras categorias,Usar alternativas de outras categorias sem controlar seu afastamento semântico,"Exigir distância semântica controlada: manter contexto, personagens, objeto, valores, vocabulário e forma linguística aproximada, variando principalmente a relação entre quantidades",Conhecimento pedagógico e teórico,MODIFICADA,Nova aba exige interpretação do diagrama sem reduzir a tarefa a um jogo dos sete erros
C34,2026-07-14,ESTRUTURAL_GENERALIZACAO,Distribuição Windows,Permitir uso por pessoa leiga sem configuração manual,Script dependente de Java previamente instalado,"Empacotar distribuição com instalação automática, runtime compatível, ícone, atalhos e opção de jpackage",Engenharia de software e implantação,MODIFICADA,Distribuição reduz dependências técnicas do usuário final
C35,2026-07-14,REFINAMENTO_VISUAL_OPERACIONAL,Construção da situação-problema,Representar adequadamente a atividade cognitiva e oferecer apoio sem exposição contínua,Aba denominada Montar e definição permanentemente visível,Substituir montar por construir e mostrar a definição somente no onmouseover do nome da categoria,Design pedagógico e interação,MODIFICADA,Nomenclatura reforça raciocínio construtivo e ajuda contextual preserva a leitura limpa do diagrama
C36,2026-07-15,CONSISTENCIA_TEORICO_METODOLOGICA,Representação de comparação,Substituir a representação inadequada de Venn na comparação de medidas,Manter a estrutura circular utilizada nas demais categorias,Adotar duas barras de quantidades com unidades manipuláveis e valor relativo explícito,Teoria dos Campos Conceituais e representação didática,MODIFICADA,"Comparação passa a tornar visíveis referido, referendo e valor relativo"
C37,2026-07-15,CONSISTENCIA_TEORICO_METODOLOGICA,Mapeamento semântico,Sincronizar o gráfico com os papéis curados,Usar a ordem superficial dos números do enunciado,"Exigir referido, referendo e valor relativo como fonte semântica do gráfico",Semântica das categorias aditivas,MODIFICADA,O gráfico deixa de trocar os papéis das quantidades
C38,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Curadoria,Reduzir confusão na leitura do formulário,Expor identificadores técnicos ao pesquisador,Ocultar campos com referência a ID mantendo-os internamente,Usabilidade e persistência,MODIFICADA,Curadoria preserva vínculos internos sem expor metadados técnicos
C39,2026-07-15,CONSISTENCIA_TEORICO_METODOLOGICA,Curadoria linguística,Explicitar pessoas e objetos envolvidos no enunciado,Participantes dependiam de extração automática do texto,"Adicionar personagem_1, personagem_2 e personagem_3 como metadados livres e persistentes por versão linguística",Conhecimento linguístico e modelagem de dados,MODIFICADA,Entidades do enunciado passam a ser registradas explicitamente sem depender apenas de inferência automática
C40,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Texto do gráfico,Evitar corte do texto explicativo,Desenhar a descrição em uma linha,Aplicar quebra controlada e posteriormente reduzir informação acessória,Legibilidade de interface,MODIFICADA,Texto deixa de ultrapassar a área disponível
C41,2026-07-15,CONSISTENCIA_TEORICO_METODOLOGICA,Comparação manipulável,Tornar o valor relativo uma relação observável,Mostrar somente uma chave e um texto de diferença,"Usar escala de zero a n, ponto de controle e nomes dos participantes sob as barras",Representação matemática e mediação pedagógica,MODIFICADA,A relação pode ser explorada sem perder os papéis semânticos
C42,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Controle da comparação,Permitir manipulação direta do valor relativo,Exibir ponto apenas como marcador visual,Tornar o ponto arrastável e restaurar o cartão numérico sincronizado,Manipulação direta,MODIFICADA,"Eixo, cartão e barras passam a responder à mesma interação"
C43,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Layout da comparação,"Eliminar sobreposição entre eixo, números e cartão",Posicionar componentes em uma faixa estreita,Ampliar área de captura e separar espacialmente escala e cartão,Ergonomia visual,MODIFICADA,Representação ganha legibilidade e área de interação mais estável
C44,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Comportamento do eixo,Manter o eixo estável durante o arraste,Recalcular o máximo com o valor corrente do ponto,Fixar o eixo pelo valor curado e mover o ponto de forma contínua,Interação e consistência visual,MODIFICADA,O eixo não encolhe e o marcador pode percorrer toda a escala
C45,2026-07-15,ESTRUTURAL_GENERALIZACAO,Sincronização reativa,Vincular o controle à quantidade do termo desconhecido,Atualizar apenas o ponto e o cartão,Fazer a barra do referendo aumentar ou diminuir conforme o controle,Arquitetura reativa e papéis semânticos,MODIFICADA,Uma alteração no eixo propaga-se à representação da quantidade desconhecida
C46,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Cartão do valor relativo,Adequar a área ao conteúdo sinal e número,Usar painel alto semelhante às barras,Reduzir para cartão compacto com valor centralizado,Economia visual,MODIFICADA,O valor relativo ocupa espaço proporcional à informação exibida
C47,2026-07-15,CONSISTENCIA_TEORICO_METODOLOGICA,Correspondência entre quantidades,Evidenciar a parte comum entre referido e referendo,Usar a mesma cor neutra para todas as unidades,"Colorir em vermelho suave, de baixo para cima, a mesma quantidade de unidades nas duas barras",Representação comparativa e percepção visual,MODIFICADA,A quantidade comum torna-se visível e as unidades excedentes permanecem diferenciadas
C48,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Diagrama de Vergnaud,Tornar visíveis os papéis semânticos dos nós,Manter nós sem rótulos contextuais,Adicionar rótulos diretamente aos elementos sem alterar a notação formal,Legibilidade representacional,MODIFICADA,Papéis semânticos passam a ser identificáveis no próprio diagrama
C49,2026-07-15,CONSISTENCIA_TEORICO_METODOLOGICA,Representações complementares,Evitar representação inadequada na transformação de medidas,Manter o diagrama de Venn ao lado de Vergnaud,Ocultar o Venn nessa categoria e ampliar a área do diagrama formal,Teoria dos Campos Conceituais,MODIFICADA,Transformação de medidas deixa de exibir representação complementar inadequada
C50,2026-07-15,CONSISTENCIA_TEORICO_METODOLOGICA,Comparação de medidas,Preservar a modelagem efetiva do usuário,Preencher inicialmente o gráfico com valores curados,Iniciar as barras vazias até o posicionamento explícito no diagrama de Vergnaud,Metodologia de coleta de dados,MODIFICADA,A representação mostra apenas valores efetivamente modelados
C51,2026-07-15,CONSISTENCIA_TEORICO_METODOLOGICA,Mapeamento semântico,Corrigir correspondência entre Vergnaud e barras,Associar elementos pela ordem visual,"Mapear referido, valor relativo e referendo pelos papéis curados",Semântica aditiva,MODIFICADA,Rótulos e valores deixam de ser trocados na comparação
C52,2026-07-15,ESTRUTURAL_GENERALIZACAO,Curadoria e domínio,Generalizar a fonte semântica para todas as categorias,Manter regras específicas dispersas por tela,"Centralizar papéis, valores, sinais, incógnita e participantes na curadoria",Arquitetura de domínio,MODIFICADA,Uma fonte semântica única alimenta todas as categorias aditivas
C53,2026-07-15,CONSISTENCIA_TEORICO_METODOLOGICA,Comparação manipulável,Evitar antecipação de valores não modelados,Preencher simultaneamente as duas barras,Preencher cada barra somente quando o papel correspondente for posicionado,Validade metodológica,MODIFICADA,Cada quantidade visual corresponde a uma ação explícita do usuário
C54,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Gráfico de barras,Melhorar uso do espaço vertical,Distribuir unidades com espaçamento amplo,Compactar quadradinhos de baixo para cima e fixar o eixo à geometria das barras,Design visual,MODIFICADA,Barras ganham compactação e alinhamento estável
C55,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Eixo dos inteiros,Manter a escala durante a manipulação,Redimensionar a escala conforme o valor corrente,"Fixar extremos e espaçamento, movendo somente o ponto de controle",Manipulação direta,MODIFICADA,Escala permanece estável durante a exploração
C56,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Personagens no diagrama,Relacionar papéis e participantes,Exibir apenas os papéis formais,Adicionar subtítulos com personagens ou objetos nos nós,Legibilidade e contexto,MODIFICADA,Participantes passam a aparecer junto aos papéis semânticos
C57,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Layout da comparação,Evitar intersecção entre rótulo e seta,Manter o Referendo abaixo do nó superior,Mover o rótulo e o personagem para cima do quadrado,Ergonomia visual,MODIFICADA,Referendo deixa de se sobrepor à seta vertical
C58,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Hierarquia dos rótulos,Aprimorar ordem de leitura do nó superior,Exibir Referendo antes do personagem,Colocar o nome do personagem acima do rótulo Referendo,Hierarquia visual,MODIFICADA,Leitura do participante e do papel fica mais clara
C59,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Codificação visual,Distinguir personagens dos papéis,Usar a mesma cor para todos os rótulos,Aplicar vermelho suave aos nomes dos personagens em todas as categorias,Design visual,MODIFICADA,Personagens ganham identidade cromática consistente
C60,2026-07-15,ESTRUTURAL_GENERALIZACAO,Sincronização reativa,Propagar alterações do eixo vertical,Atualizar apenas o gráfico de barras,Atualizar também Vergnaud e o eixo do número relativo,Arquitetura reativa,MODIFICADA,Eixo vertical torna-se fonte válida de alteração semântica
C61,2026-07-15,ESTRUTURAL_GENERALIZACAO,Sincronização bidirecional,Unificar o valor relativo entre representações,Manter atualizações parciais em uma direção,"Sincronizar Vergnaud, barras e eixos em todas as ações e nos dois sentidos",Arquitetura de estado,MODIFICADA,Valor relativo passa a ter comportamento bidirecional consistente
C62,2026-07-15,ESTRUTURAL_GENERALIZACAO,Edição direta,Permitir alterar o cartão do valor relativo,Tratar o cartão como exibição passiva,"Propagar a edição para Vergnaud, barras e eixos",Manipulação direta e arquitetura,MODIFICADA,Edição textual participa do mesmo fluxo reativo
C63,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Generalização visual,Exibir personagens em todas as categorias,Manter o recurso apenas na comparação,Estender subtítulos e ajustar o espaçamento do Referendo,Legibilidade generalizada,MODIFICADA,Personagens passam a ser apresentados em todas as categorias
C64,2026-07-15,ESTRUTURAL_GENERALIZACAO,Diagrama de Venn,Propagar manipulações das unidades,Mover quadradinhos sem alterar o modelo semântico,Atualizar Vergnaud após movimentação ou remoção de unidades,Arquitetura bidirecional,MODIFICADA,Venn e Vergnaud passam a compartilhar alterações
C65,2026-07-15,CONSISTENCIA_TEORICO_METODOLOGICA,Inicialização da modelagem,Evitar representação antecipada,Carregar o Venn com os valores curados,Iniciar vazio e preencher somente após ações no diagrama formal,Metodologia de observação,MODIFICADA,Venn passa a refletir apenas a modelagem construída
C66,2026-07-15,ESTRUTURAL_GENERALIZACAO,Composição de medidas,Sincronizar a coleção Todo,Manter a resultante incompleta ou independente,Vincular a coleção Todo ao valor modelado e às manipulações bidirecionais,Arquitetura semântica,MODIFICADA,Todo torna-se manipulável e sincronizado
C67,2026-07-15,ESTRUTURAL_GENERALIZACAO,Estado compartilhado,Eliminar cadeias locais de sincronização,Atualizar representações diretamente umas pelas outras,"Criar estado semântico único com snapshot, origem e proteção contra recursão",Arquitetura de domínio,MODIFICADA,Todas as representações tornam-se projeções do mesmo estado
C68,2026-07-15,CONSISTENCIA_TEORICO_METODOLOGICA,Cardinalidade visual,Representar integralmente o valor do Todo,Limitar a coleção a doze unidades,Usar grade adaptativa sem truncar a quantidade semântica,Consistência representacional,MODIFICADA,Quantidade desenhada passa a coincidir com a quantidade matemática
C69,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Composição de coleções,Melhorar a acomodação da resultante,Usar seta longa e espaço insuficiente para o Todo,Reduzir a seta e redistribuir coleções e valor resultante,Distribuição espacial,MODIFICADA,Todo permanece legível dentro da área útil
C70,2026-07-15,CONSISTENCIA_TEORICO_METODOLOGICA,Curadoria de participantes,Atualizar personagens após a curadoria,Manter rótulos antigos até nova renderização,Reaplicar imediatamente os nomes nos nós já exibidos,Consistência semântica,MODIFICADA,Diagrama corrente passa a refletir a curadoria sem recarregamento
C71,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Diagrama complementar,Reduzir informação redundante,Manter texto explicativo abaixo do título,Remover o texto e preservar título e manipulação,Economia visual,MODIFICADA,Área complementar fica mais limpa
C72,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Navegação,Evitar acesso a funcionalidades incompletas,Manter menus ativos sem implementação consolidada,Desabilitar opções e informar Em construção,Usabilidade operacional,MODIFICADA,Usuário deixa de entrar em fluxos ainda não disponíveis
C73,2026-07-15,ESTRUTURAL_GENERALIZACAO,Rastreabilidade de falhas,Registrar problemas encontrados pelo usuário,Depender de descrição externa ao sistema,Adicionar formulário de relato com contexto e persistência local,Engenharia de software,MODIFICADA,Relatos passam a ser vinculados ao estado da atividade
C74,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Relato de bug,Facilitar o envio do registro,Salvar somente a cópia local,Abrir cliente de e-mail com mensagem preenchida,Fluxo operacional,MODIFICADA,Relato pode ser enviado sem transcrição manual
C75,2026-07-15,ESTRUTURAL_GENERALIZACAO,Diagnóstico de falhas,Incluir o estado representacional no relato,Registrar apenas texto e categoria,Adicionar representações exibidas e extensões futuras da curadoria,Rastreabilidade técnica,MODIFICADA,Relatos passam a descrever o contexto visual da falha
C76,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Memória do projeto,Atualizar fotografia do submenu,Manter imagem anterior,Substituir a foto preservando redimensionamento automático,Apresentação institucional,MODIFICADA,Submenu passa a exibir a nova imagem
C77,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Memória do projeto,Exibir duas fotografias,Mostrar somente uma imagem,Organizar as fotos lado a lado com escala automática,Layout visual,MODIFICADA,Duas imagens passam a coexistir no submenu
C78,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Tratamento de imagem,Substituir uma fotografia preservando o layout,Alterar a imagem com risco de deformação,Manter proporção e alinhamento com a segunda foto,Composição visual,MODIFICADA,Nova foto mantém o equilíbrio do painel
C79,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Nomenclatura do menu,Contextualizar o registro histórico,Usar o rótulo Em Recife e legenda inferior,Renomear para Na UFPE em 2009 e retirar a legenda,Comunicação visual,MODIFICADA,Submenu passa a indicar local e data de forma direta
C80,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Relato de bug,Atualizar destinatário,Enviar para endereço institucional anterior,Usar anaemilia@gmail.com mantendo cópia local,Operação de suporte,MODIFICADA,Relatos passam a ser dirigidos ao endereço definido
C81,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Indicação de submenu,Sinalizar que o item abre outro painel,Usar apenas o texto,Adicionar seta discreta e ajustar o posicionamento,Affordance visual,MODIFICADA,Item passa a indicar continuidade hierárquica
C82,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Padrão de menus,Adequar a posição da seta,Colocar o indicador antes do texto,Mover a seta para depois do rótulo,Convenção de interface,MODIFICADA,Indicador segue o padrão de submenu
C83,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Compatibilidade gráfica,Evitar glifo ausente,Usar caractere Unicode dependente da fonte,Desenhar a seta como ícone vetorial Swing,Robustez visual,MODIFICADA,Seta deixa de aparecer como quadrado substituto
C84,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Alinhamento do submenu,Separar texto e indicador,Posicionar a seta junto ao rótulo,Usar toda a largura com texto à esquerda e seta à direita,Layout de menu,MODIFICADA,Item ganha alinhamento estável e legível
C85,2026-07-15,ESTRUTURAL_GENERALIZACAO,Persistência da curadoria,Eliminar travamento ao salvar ou fechar,Executar gravações intermediárias duplicadas,Unificar o fluxo de salvar e fechar e tratar divergências numéricas,Persistência e concorrência de interface,MODIFICADA,Fechamento passa a realizar uma única gravação segura
C86,2026-07-15,CONSISTENCIA_TEORICO_METODOLOGICA,Curadoria multilíngue,Manter uma única fonte para dados semânticos,Permitir editar semântica em cada tradução,Bloquear dados semânticos nas traduções e herdá-los da original,Validade metodológica,MODIFICADA,Somente a versão original define a semântica da situação
C87,2026-07-15,CONSISTENCIA_TEORICO_METODOLOGICA,Modelo de curadoria,Eliminar informação redundante,Manter o campo subtipo editável,Retirar o campo e preservar compatibilidade interna,Consistência de dados,MODIFICADA,Curadoria deixa de duplicar estrutura já definida por outros campos
C88,2026-07-15,CONSISTENCIA_TEORICO_METODOLOGICA,Bloqueio dinâmico,Aplicar a regra ao trocar o idioma,Bloquear somente quando a linha já era tradução,Atualizar imediatamente o estado editável ao selecionar outro idioma,Consistência operacional e metodológica,MODIFICADA,Semântica permanece protegida durante toda a edição da tradução
C89,2026-07-15,REFINAMENTO_VISUAL_OPERACIONAL,Integração com Gmail,Preencher efetivamente a mensagem no navegador,Usar mailto associado ao Gmail,"Abrir o compositor Web com destinatário, assunto e corpo parametrizados",Fluxo de suporte,MODIFICADA,Gmail passa a abrir com o relato preenchido
C90,2026-07-15,ESTRUTURAL_GENERALIZACAO,Scaffolding de erro,Responder a posicionamentos semanticamente incompatíveis,Exibir somente uma anotação genérica,"Combinar tremor leve, som sutil e tooltip contextual em todas as categorias",Interação pedagógica e arquitetura reutilizável,MODIFICADA,Erro semântico recebe feedback multissensorial que desaparece após correção
C91,2026-07-16,ESTRUTURAL_GENERALIZACAO,Ajuda contextual,Oferecer orientação situada nas representações,Concentrar a ajuda em instruções gerais,"Adicionar interrogações no texto, Vergnaud e diagrama complementar com três intenções de ajuda",Scaffolding e acessibilidade,MODIFICADA,"Usuário pode pedir dúvida, continuidade ou próximo passo na área relevante"
C94,2026-07-16,CONSISTENCIA_TEORICO_METODOLOGICA,Inicialização e estrutura visual,Preservar as divisões da tela antes da escolha da categoria,Ocultar painéis juntamente com enunciado e diagramas,Distinguir estrutura visual estável de conteúdo educativo transitório e manter os três painéis vazios,Consistência de interface e regressão visual,MODIFICADA,A tela mantém sua organização espacial e carrega somente os conteúdos após a seleção da categoria
C96,2026-07-16,CONSISTENCIA_TEORICO_METODOLOGICA,Análise da modelagem,Vincular a análise qualitativa a uma tentativa efetivamente iniciada,Permitir a abertura da análise logo após o carregamento da situação,Exigir ao menos um posicionamento atual no diagrama de Vergnaud e ocultar novamente após restauração,Validade metodológica e estado da tentativa,MODIFICADA,Análises e fotografias passam a possuir uma ação de modelagem como referente empírico
C97,2026-07-16,REFINAMENTO_VISUAL_OPERACIONAL,Análise da modelagem,Integrar a janela à identidade visual do Gérard,Manter o formulário com o tema cinza padrão do Swing,"Aplicar fundo claro, cartões brancos, títulos azuis e botões consistentes sem alterar os dados",Coerência visual e usabilidade,MODIFICADA,A janela qualitativa passa a pertencer visualmente à mesma atividade educacional
C98,2026-07-16,ESTRUTURAL_GENERALIZACAO,Diagrama complementar e estado compartilhado,Permitir criação incremental de unidades nos agrupamentos,Manter quadradinhos apenas por reconstrução automática ou arraste existente,"Adicionar controle vetorial junto a cada coleção, registrar o clique e sincronizar a nova quantidade","Manipulação direta, logging e consistência entre representações",MODIFICADA,Coleções tornam-se extensíveis pelo usuário sem criar uma segunda fonte de verdade
C100,2026-07-16,ESTRUTURAL_GENERALIZACAO,Diagrama complementar e estado compartilhado,Permitir remoção incremental de unidades visíveis,Manter apenas o controle de adição ou depender da tecla Delete,"Adicionar controle vetorial de subtração condicionado à existência de quadradinhos, preservar textos remanescentes e sincronizar a cardinalidade","Manipulação direta, affordance e consistência entre representações",MODIFICADA,Coleções passam a permitir aumento e redução explícitos sem criar fonte de verdade paralela
C103,2026-07-16,REFINAMENTO_VISUAL_OPERACIONAL,Controles das coleções,Evitar sobreposição entre controles e números de cardinalidade,Posicionar os ícones na mesma faixa lateral dos números,Separar espacialmente controles e contagens sem afastá-los da representação,Legibilidade e associação visual,MODIFICADA,Controles permanecem associados ao agrupamento sem cobrir os numerais
C104,2026-07-16,REFINAMENTO_VISUAL_OPERACIONAL,Controles das coleções,Aumentar a folga visual entre controles e contagens,Considerar suficiente a primeira correção de sobreposição,Refinar novamente os afastamentos horizontal e vertical,Inspeção visual e ergonomia,MODIFICADA,Coluna de controles passa a ocupar a borda superior lateral com separação confortável
